ID,CUIs
ImageCLEFmedical_Caption_2024_train_000024,C0018787;C0226032;C0034052
ImageCLEFmedical_Caption_2024_train_000025,C0018787;C0034052
ImageCLEFmedical_Caption_2024_train_000035,C0226032
ImageCLEFmedical_Caption_2024_train_000036,C0226032
ImageCLEFmedical_Caption_2024_train_000082,C1261287;C0085590
ImageCLEFmedical_Caption_2024_train_000119,C0038257;C0226032
ImageCLEFmedical_Caption_2024_train_000175,C1261287;C0226037;C0226032
ImageCLEFmedical_Caption_2024_train_000208,C0034052;C1275670
ImageCLEFmedical_Caption_2024_train_000209,C1275670
ImageCLEFmedical_Caption_2024_train_000263,C1510412
ImageCLEFmedical_Caption_2024_train_000264,C1510412
ImageCLEFmedical_Caption_2024_train_000338,C1510412
ImageCLEFmedical_Caption_2024_train_000361,C1275670
ImageCLEFmedical_Caption_2024_train_000387,C0002940
ImageCLEFmedical_Caption_2024_train_000420,C1261316;C0018787
ImageCLEFmedical_Caption_2024_train_000448,C0018787;C1261316;C1261082;C0226032;C0034052
ImageCLEFmedical_Caption_2024_train_000508,C0018787
ImageCLEFmedical_Caption_2024_train_000516,C1947917;C0034052;C0016169
ImageCLEFmedical_Caption_2024_train_000556,C1275670;C0042591
ImageCLEFmedical_Caption_2024_train_000557,C1275670;C0042591
ImageCLEFmedical_Caption_2024_train_000568,C0038257
ImageCLEFmedical_Caption_2024_train_000571,C1947917
ImageCLEFmedical_Caption_2024_train_000607,C0205097
ImageCLEFmedical_Caption_2024_train_000690,C1510412;C1947917;C0085590
ImageCLEFmedical_Caption_2024_train_000691,C1947917
ImageCLEFmedical_Caption_2024_train_000693,C1510412;C0034052
ImageCLEFmedical_Caption_2024_train_000694,C0034052;C0085590
ImageCLEFmedical_Caption_2024_train_000716,C0034052
ImageCLEFmedical_Caption_2024_train_000717,C0205097
ImageCLEFmedical_Caption_2024_train_000749,C0038257
ImageCLEFmedical_Caption_2024_train_000767,C0016169
ImageCLEFmedical_Caption_2024_train_000820,C1947917;C0226032;C0205097
ImageCLEFmedical_Caption_2024_train_000821,C0226032
ImageCLEFmedical_Caption_2024_train_000822,C0205097
ImageCLEFmedical_Caption_2024_train_000823,C0038257
ImageCLEFmedical_Caption_2024_train_000826,C1261287;C1261082
ImageCLEFmedical_Caption_2024_train_000850,C1261316
ImageCLEFmedical_Caption_2024_train_000926,C0226032
ImageCLEFmedical_Caption_2024_train_000927,C0226032
ImageCLEFmedical_Caption_2024_train_000930,C0001168;C0226032
ImageCLEFmedical_Caption_2024_train_000950,C0085590
ImageCLEFmedical_Caption_2024_train_000984,C0038257
ImageCLEFmedical_Caption_2024_train_000994,C0226032;C0001168;C0226037;C1261316
ImageCLEFmedical_Caption_2024_train_001007,C1510412;C0038257
ImageCLEFmedical_Caption_2024_train_001084,C1510412
ImageCLEFmedical_Caption_2024_train_001110,C0038257;C0042591;C0001168;C0226032
ImageCLEFmedical_Caption_2024_train_001130,C0038257;C0002940
ImageCLEFmedical_Caption_2024_train_001254,C0002940
ImageCLEFmedical_Caption_2024_train_001265,C0001168
ImageCLEFmedical_Caption_2024_train_001271,C0226032
ImageCLEFmedical_Caption_2024_train_001272,C0205097;C0226032;C0226037
ImageCLEFmedical_Caption_2024_train_001273,C1261316
ImageCLEFmedical_Caption_2024_train_001366,C1261287;C0034052;C1275670
ImageCLEFmedical_Caption_2024_train_001464,C0205097;C0226032
ImageCLEFmedical_Caption_2024_train_001520,C0001168
ImageCLEFmedical_Caption_2024_train_001521,C0226032;C0001168;C0038257
ImageCLEFmedical_Caption_2024_train_001522,C1947917
ImageCLEFmedical_Caption_2024_train_001523,C0226032;C0001168
ImageCLEFmedical_Caption_2024_train_001627,C1947917
ImageCLEFmedical_Caption_2024_train_001630,C0034052;C1261316;C0042591
ImageCLEFmedical_Caption_2024_train_001667,C0034052
ImageCLEFmedical_Caption_2024_train_001716,C0034052
ImageCLEFmedical_Caption_2024_train_001809,C0038257;C1261287
ImageCLEFmedical_Caption_2024_train_001841,C1261082;C1261287;C0226032
ImageCLEFmedical_Caption_2024_train_001881,C0038257
ImageCLEFmedical_Caption_2024_train_001882,C0038257
ImageCLEFmedical_Caption_2024_train_001978,C0085590
ImageCLEFmedical_Caption_2024_train_002006,C1510412
ImageCLEFmedical_Caption_2024_train_002007,C0038257
ImageCLEFmedical_Caption_2024_train_002011,C1261082
ImageCLEFmedical_Caption_2024_train_002050,C1261082;C1261287;C0226032
ImageCLEFmedical_Caption_2024_train_002057,C0034052
ImageCLEFmedical_Caption_2024_train_002058,C0016169
ImageCLEFmedical_Caption_2024_train_002088,C1947917
ImageCLEFmedical_Caption_2024_train_002090,C1261287
ImageCLEFmedical_Caption_2024_train_002095,C0042591
ImageCLEFmedical_Caption_2024_train_002099,C0034052
ImageCLEFmedical_Caption_2024_train_002100,C0038257
ImageCLEFmedical_Caption_2024_train_002101,C1947917;C0038257
ImageCLEFmedical_Caption_2024_train_002160,C0034052
ImageCLEFmedical_Caption_2024_train_002194,C0085590
ImageCLEFmedical_Caption_2024_train_002209,C0226032
ImageCLEFmedical_Caption_2024_train_002215,C0034052
ImageCLEFmedical_Caption_2024_train_002253,C0038257
ImageCLEFmedical_Caption_2024_train_002281,C1947917;C1275670
ImageCLEFmedical_Caption_2024_train_002282,C0085590
ImageCLEFmedical_Caption_2024_train_002283,C0085590
ImageCLEFmedical_Caption_2024_train_002339,C0002940
ImageCLEFmedical_Caption_2024_train_002456,C0038257
ImageCLEFmedical_Caption_2024_train_002560,C0001168
ImageCLEFmedical_Caption_2024_train_002573,C0085590
ImageCLEFmedical_Caption_2024_train_002652,C0016169
ImageCLEFmedical_Caption_2024_train_002653,C0016169
ImageCLEFmedical_Caption_2024_train_002690,C0034052
ImageCLEFmedical_Caption_2024_train_002695,C1261082;C0085590;C1261287
ImageCLEFmedical_Caption_2024_train_002697,C1261082;C0226032
ImageCLEFmedical_Caption_2024_train_002698,C0085590
ImageCLEFmedical_Caption_2024_train_002704,C0226032
ImageCLEFmedical_Caption_2024_train_002705,C0226032
ImageCLEFmedical_Caption_2024_train_002731,C1510412
ImageCLEFmedical_Caption_2024_train_002742,C0226032;C0034052;C1261287
ImageCLEFmedical_Caption_2024_train_002744,C0226032;C1261287
ImageCLEFmedical_Caption_2024_train_002775,C1947917
ImageCLEFmedical_Caption_2024_train_002865,C0018787;C0205097;C0226037
ImageCLEFmedical_Caption_2024_train_002866,C0018787;C1261316
ImageCLEFmedical_Caption_2024_train_002962,C0226032
ImageCLEFmedical_Caption_2024_train_002963,C0226032
ImageCLEFmedical_Caption_2024_train_002964,C0002940
ImageCLEFmedical_Caption_2024_train_002992,C0085590
ImageCLEFmedical_Caption_2024_train_003031,C1261082
ImageCLEFmedical_Caption_2024_train_003032,C0226037;C0038257
ImageCLEFmedical_Caption_2024_train_003033,C0018787
ImageCLEFmedical_Caption_2024_train_003036,C0038257
ImageCLEFmedical_Caption_2024_train_003041,C0085590;C0034052
ImageCLEFmedical_Caption_2024_train_003095,C0085590
ImageCLEFmedical_Caption_2024_train_003158,C0034052;C0038257
ImageCLEFmedical_Caption_2024_train_003175,C0034052
ImageCLEFmedical_Caption_2024_train_003230,C1261316
ImageCLEFmedical_Caption_2024_train_003231,C1261316
ImageCLEFmedical_Caption_2024_train_003246,C0016169
ImageCLEFmedical_Caption_2024_train_003251,C0038257
ImageCLEFmedical_Caption_2024_train_003254,C0226032;C1261287
ImageCLEFmedical_Caption_2024_train_003316,C0226032;C0226037
ImageCLEFmedical_Caption_2024_train_003374,C0085590;C1510412
ImageCLEFmedical_Caption_2024_train_003375,C1510412
ImageCLEFmedical_Caption_2024_train_003396,C0226032
ImageCLEFmedical_Caption_2024_train_003397,C0226032
ImageCLEFmedical_Caption_2024_train_003398,C1275670;C0226032
ImageCLEFmedical_Caption_2024_train_003402,C1261287;C1261316
ImageCLEFmedical_Caption_2024_train_003403,C1261316
